"core-infra-nx::tests/test_sysdump.py::test_delete[shell]","P2"
"core-infra-nx::tests/test_sysdump.py::test_combinedtar","P2"
"core-infra-nx::tests/test_sysdump.py::test_verifytar","P3"
"core-infra-nx::tests/test_sysdump.py::test_generate_upload_check_statistics[shell-upload_cmd_line]","P2"
"core-infra-nx::tests/test_sysdump.py::test_generate_upload_check_statistics[shell-create_with_node_down]","P2"
"core-infra-nx::tests/test_sysdump.py::test_generate_upload_check_statistics[shell-verify_meta_data]","P3"
"core-infra-nx::tests/test_svm_recovery.py::test_svm_recovery[shutdown]","P1"
"core-infra-nx::tests/test_svm_recovery.py::test_svm_recovery[panic]","P1"
"core-infra-nx::tests/test_svm_recovery.py::test_svm_recovery[watchdog]","P1"
"core-infra-nx::tests/test_health_monitoring.py::test_cvm_recovery[watchdog]","P1"
"core-infra-nx::tests/test_health_monitoring.py::test_cvm_recovery[shutdown]","P1"
"core-infra-nx::tests/test_health_monitoring.py::test_cvm_recovery[panic]","P1"
"core-infra-nx::tests/test_multiple_vm_reboot.py::test_multiple_vm_reboot","P3"
"core-infra-nx::tests/test_health_monitoring.py::test_cvm_recovery[reboot]","P2"
"core-infra-nx::tests/test_svm_recovery.py::test_svm_recovery[reboot]","P3"
"core-infra-nx::tests/test_hypervisor_reboot.py::test_hypervisor_reboot","P3"
"core-infra-nx::tests/test_vsh_recovery.py::test_vsh_reboot","P1"
"core-infra-nx::tests/test_vsh_recovery.py::test_vsh_shutdown","P1"
"core-infra-nx::tests/test_vsh_recovery.py::test_vsh_panic","P1"
"core-infra-nx::tests/test_kerneldump.py::test_kerneldump_name_check","P3"
"core-infra-nx::tests/test_vm_states.py::test_vm_events","P3"
"core-infra-nx::tests/test_snmp.py::test_factory_reset_panther","P2"
"core-infra-nx::tests/test_snmp.py::test_snmp_cold_start_panther_v1","P1"
"core-infra-nx::tests/test_snmp.py::test_link_down_panther_v1","P1"
"core-infra-nx::tests/test_snmp.py::test_link_up_panther_v1","P1"
"core-infra-nx::tests/test_snmp.py::test_auth_failure_panther_v1","P1"
"core-infra-nx::tests/test_snmp.py::test_snmp_cold_start_panther_v2","P1"
"core-infra-nx::tests/test_snmp.py::test_link_down_panther_v2","P1"
"core-infra-nx::tests/test_snmp.py::test_link_up_panther_v2","P1"
"core-infra-nx::tests/test_snmp.py::test_auth_failure_panther_v2","P1"
"core-infra-nx::tests/test_snmp.py::test_snmp_get_panther","P2"
"core-infra-nx::tests/test_snmp.py::test_snmp_walk_panther","P2"
"core-infra-nx::tests/test_snmp.py::test_toggle_snmp_panther","P3"
"core-infra-nx::tests/test_snmp.py::test_factory_reset_catfish","P2"
"core-infra-nx::tests/test_snmp.py::test_snmp_wan_optimization_catfish","P3"
"core-infra-nx::tests/test_snmp.py::test_snmp_cold_start_catfish_lan_v1","P1"
"core-infra-nx::tests/test_snmp.py::test_auth_failure_catfish_lan_v1","P1"
"core-infra-nx::tests/test_snmp.py::test_auth_failure_catfish_lan_v2","P1"
"core-infra-nx::tests/test_snmp.py::test_link_down_catfish_lan_v1","P1"
"core-infra-nx::tests/test_snmp.py::test_link_up_catfish_lan_v1","P1"
"core-infra-nx::tests/test_snmp.py::test_snmp_cold_start_catfish_lan_v2","P1"
"core-infra-nx::tests/test_snmp.py::test_link_down_catfish_lan_v2","P1"
"core-infra-nx::tests/test_snmp.py::test_link_up_catfish_lan_v2","P1"
"core-infra-nx::tests/test_snmp.py::test_snmp_get_catfish","P2"
"core-infra-nx::tests/test_snmp.py::test_snmp_walk_catfish","P2"
"core-infra-nx::tests/test_snmp.py::test_snmp_cold_start_catfish_v1","P1"
"core-infra-nx::tests/test_snmp.py::test_link_up_catfish_v1","P1"
"core-infra-nx::tests/test_snmp.py::test_auth_failure_catfish_v1","P1"
"core-infra-nx::tests/test_snmp.py::test_snmp_cold_start_catfish_v2","P1"
"core-infra-nx::tests/test_snmp.py::test_link_down_catfish_v2","P1"
"core-infra-nx::tests/test_snmp.py::test_link_up_catfish_v2","P1"
"core-infra-nx::tests/test_snmp.py::test_auth_failure_catfish_v2","P1"
"core-infra-nx::tests/test_snmp.py::test_link_down_catfish_v1","P1"
"core-infra-nx::tests/test_snmp.py::test_toggle_snmp_catfish","P3"
"core-infra-nx::tests/test_factory_reset.py::test_factory_reset","P2"
"core-infra-nx::tests/test_factory_reset_static_dynamic_ip.py::test_factory_reset","P3"
"core-infra-nx::tests/test_factory_reset_static_dynamic_ip_ha.py::test_factory_reset","P3"
